,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0,0021700655,1610612759,Spurs,SAS,San Antonio,240:00,0.47,0.378,0.092,0.146,0.5,0.217,0.142,0.146
1,0021700655,1610612751,Nets,BKN,Brooklyn,240:00,0.5,0.217,0.142,0.146,0.47,0.378,0.092,0.146
2,0021700654,1610612740,Pelicans,NOP,New Orleans,240:00,0.5,0.238,0.15,0.225,0.472,0.146,0.117,0.261
3,0021700654,1610612737,Hawks,ATL,Atlanta,240:00,0.472,0.146,0.117,0.261,0.5,0.238,0.15,0.225
4,0021700657,1610612744,Warriors,GSW,Golden State,240:00,0.577,0.298,0.143,0.125,0.472,0.123,0.101,0.241
5,0021700657,1610612741,Bulls,CHI,Chicago,240:00,0.472,0.123,0.101,0.241,0.577,0.298,0.143,0.125
6,0021700656,1610612761,Raptors,TOR,Toronto,240:00,0.494,0.288,0.212,0.279,0.477,0.17,0.152,0.229
7,0021700656,1610612765,Pistons,DET,Detroit,240:00,0.477,0.17,0.152,0.229,0.494,0.288,0.212,0.279
8,0021700651,1610612743,Nuggets,DEN,Denver,240:00,0.512,0.302,0.187,0.333,0.538,0.282,0.162,0.135
9,0021700651,1610612742,Mavericks,DAL,Dallas,240:00,0.538,0.282,0.162,0.135,0.512,0.302,0.187,0.333
10,0021700650,1610612740,Pelicans,NOP,New Orleans,265:00,0.485,0.25,0.133,0.241,0.49,0.158,0.165,0.222
11,0021700650,1610612738,Celtics,BOS,Boston,265:00,0.49,0.158,0.165,0.222,0.485,0.25,0.133,0.241
12,0021700447,1610612760,Thunder,OKC,Oklahoma City,240:00,0.525,0.185,0.109,0.14,0.5,0.14,0.126,0.19
13,0021700447,1610612743,Nuggets,DEN,Denver,240:00,0.5,0.14,0.126,0.19,0.525,0.185,0.109,0.14
14,0021700652,1610612757,Trail Blazers,POR,Portland,240:00,0.599,0.11,0.104,0.225,0.506,0.247,0.13,0.261
15,0021700652,1610612756,Suns,PHX,Phoenix,240:00,0.506,0.247,0.13,0.261,0.599,0.11,0.104,0.225
16,0021700714,1610612766,Hornets,CHA,Charlotte,240:00,0.528,0.364,0.108,0.25,0.563,0.316,0.2,0.158
17,0021700714,1610612737,Hawks,ATL,Atlanta,240:00,0.563,0.316,0.2,0.158,0.528,0.364,0.108,0.25
18,0021700715,1610612754,Pacers,IND,Indiana,240:00,0.544,0.121,0.154,0.182,0.64,0.159,0.208,0.216
19,0021700715,1610612739,Cavaliers,CLE,Cleveland,240:00,0.64,0.159,0.208,0.216,0.544,0.121,0.154,0.182
20,0021700716,1610612762,Jazz,UTA,Utah,240:00,0.471,0.241,0.131,0.217,0.426,0.179,0.113,0.302
21,0021700716,1610612761,Raptors,TOR,Toronto,240:00,0.426,0.179,0.113,0.302,0.471,0.241,0.131,0.217
22,0021700717,1610612747,Lakers,LAL,Los Angeles,240:00,0.478,0.308,0.088,0.213,0.468,0.258,0.138,0.296
23,0021700717,1610612741,Bulls,CHI,Chicago,240:00,0.468,0.258,0.138,0.296,0.478,0.308,0.088,0.213
24,0021700659,1610612749,Bucks,MIL,Milwaukee,240:00,0.507,0.421,0.105,0.122,0.524,0.329,0.152,0.233
25,0021700659,1610612748,Heat,MIA,Miami,240:00,0.524,0.329,0.152,0.233,0.507,0.421,0.105,0.122
26,0021700658,1610612752,Knicks,NYK,New York,240:00,0.47,0.28,0.149,0.293,0.505,0.187,0.126,0.313
27,0021700658,1610612763,Grizzlies,MEM,Memphis,240:00,0.505,0.187,0.126,0.313,0.47,0.28,0.149,0.293
28,0021700712,1610612752,Knicks,NYK,New York,240:00,0.598,0.293,0.1,0.091,0.688,0.3,0.128,0.063
29,0021700712,1610612743,Nuggets,DEN,Denver,240:00,0.688,0.3,0.128,0.063,0.598,0.293,0.1,0.091
30,0021700713,1610612750,Timberwolves,MIN,Minnesota,240:00,0.485,0.178,0.094,0.265,0.657,0.169,0.159,0.268
31,0021700713,1610612744,Warriors,GSW,Golden State,240:00,0.657,0.169,0.159,0.268,0.485,0.178,0.094,0.265
32,0021701228,1610612747,Lakers,LAL,Los Angeles,240:00,0.574,0.182,0.167,0.233,0.53,0.337,0.163,0.17
33,0021701228,1610612746,Clippers,LAC,LA,240:00,0.53,0.337,0.163,0.17,0.574,0.182,0.167,0.233
34,0021700843,1610612746,Clippers,LAC,LA,240:00,0.6,0.165,0.153,0.229,0.528,0.112,0.135,0.222
35,0021700843,1610612751,Nets,BKN,Brooklyn,240:00,0.528,0.112,0.135,0.222,0.6,0.165,0.153,0.229
36,0021701057,1610612758,Kings,SAC,Sacramento,240:00,0.489,0.102,0.134,0.174,0.557,0.278,0.108,0.162
37,0021701057,1610612765,Pistons,DET,Detroit,240:00,0.557,0.278,0.108,0.162,0.489,0.102,0.134,0.174
38,0021700718,1610612763,Grizzlies,MEM,Memphis,240:00,0.531,0.222,0.198,0.195,0.55,0.363,0.1,0.079
39,0021700718,1610612746,Clippers,LAC,LA,240:00,0.55,0.363,0.1,0.079,0.531,0.222,0.198,0.195
40,0021700958,1610612761,Raptors,TOR,Toronto,240:00,0.443,0.375,0.123,0.347,0.463,0.263,0.222,0.3
41,0021700958,1610612737,Hawks,ATL,Atlanta,240:00,0.463,0.263,0.222,0.3,0.443,0.375,0.123,0.347
42,0021700719,1610612749,Bucks,MIL,Milwaukee,240:00,0.59,0.241,0.101,0.081,0.416,0.225,0.139,0.212
43,0021700719,1610612751,Nets,BKN,Brooklyn,240:00,0.416,0.225,0.139,0.212,0.59,0.241,0.101,0.081
44,0021700959,1610612764,Wizards,WAS,Washington,265:00,0.588,0.338,0.185,0.222,0.495,0.287,0.139,0.283
45,0021700959,1610612748,Heat,MIA,Miami,265:00,0.495,0.287,0.139,0.283,0.588,0.338,0.185,0.222
46,0021700653,1610612764,Wizards,WAS,Washington,240:00,0.567,0.28,0.158,0.163,0.566,0.265,0.094,0.283
47,0021700653,1610612766,Hornets,CHA,Charlotte,240:00,0.566,0.265,0.094,0.283,0.567,0.28,0.158,0.163
48,0021701000,1610612747,Lakers,LAL,Los Angeles,240:00,0.568,0.208,0.125,0.318,0.534,0.261,0.116,0.159
49,0021701000,1610612739,Cavaliers,CLE,Cleveland,240:00,0.534,0.261,0.116,0.159,0.568,0.208,0.125,0.318
50,0021700013,1610612758,Kings,SAC,Sacramento,240:00,0.523,0.114,0.155,0.0,0.47,0.349,0.128,0.0
51,0021700013,1610612745,Rockets,HOU,Houston,240:00,0.47,0.349,0.128,0.0,0.523,0.114,0.155,0.0
52,0021700012,1610612757,Trail Blazers,POR,Portland,240:00,0.567,0.311,0.135,0.0,0.354,0.202,0.142,0.0
53,0021700012,1610612756,Suns,PHX,Phoenix,240:00,0.354,0.202,0.142,0.0,0.567,0.311,0.135,0.0
54,0021700011,1610612759,Spurs,SAS,San Antonio,240:00,0.506,0.213,0.114,0.279,0.482,0.271,0.134,0.224
55,0021700011,1610612750,Timberwolves,MIN,Minnesota,240:00,0.482,0.271,0.134,0.224,0.506,0.213,0.114,0.279
56,0021700010,1610612762,Jazz,UTA,Utah,240:00,0.562,0.198,0.155,0.162,0.552,0.156,0.218,0.189
57,0021700010,1610612743,Nuggets,DEN,Denver,240:00,0.552,0.156,0.218,0.189,0.562,0.198,0.155,0.162
58,0021700017,1610612766,Hornets,CHA,Charlotte,240:00,0.494,0.349,0.175,0.0,0.416,0.147,0.114,0.0
59,0021700017,1610612737,Hawks,ATL,Atlanta,240:00,0.416,0.147,0.114,0.0,0.494,0.349,0.175,0.0
60,0021700016,1610612747,Lakers,LAL,Los Angeles,240:00,0.429,0.253,0.158,0.0,0.449,0.121,0.11,0.0
61,0021700016,1610612746,Clippers,LAC,LA,240:00,0.449,0.121,0.11,0.0,0.429,0.253,0.158,0.0
62,0021700015,1610612760,Thunder,OKC,Oklahoma City,240:00,0.494,0.244,0.153,0.0,0.449,0.241,0.222,0.0
63,0021700015,1610612752,Knicks,NYK,New York,240:00,0.449,0.241,0.222,0.0,0.494,0.244,0.153,0.0
64,0021700014,1610612761,Raptors,TOR,Toronto,240:00,0.548,0.337,0.151,0.0,0.472,0.202,0.164,0.0
65,0021700014,1610612741,Bulls,CHI,Chicago,240:00,0.472,0.202,0.164,0.0,0.548,0.337,0.151,0.0
66,0021700152,1610612752,Knicks,NYK,New York,240:00,0.68,0.28,0.17,0.207,0.544,0.187,0.138,0.37
67,0021700152,1610612766,Hornets,CHA,Charlotte,240:00,0.544,0.187,0.138,0.37,0.68,0.28,0.17,0.207
68,0021700153,1610612761,Raptors,TOR,Toronto,240:00,0.623,0.296,0.159,0.194,0.569,0.35,0.151,0.211
69,0021700153,1610612741,Bulls,CHI,Chicago,240:00,0.569,0.35,0.151,0.211,0.623,0.296,0.159,0.194
70,0021700019,1610612755,76ers,PHI,Philadelphia,240:00,0.435,0.174,0.167,0.255,0.476,0.381,0.184,0.298
71,0021700019,1610612738,Celtics,BOS,Boston,240:00,0.476,0.381,0.184,0.298,0.435,0.174,0.167,0.255
72,0021700018,1610612757,Trail Blazers,POR,Portland,240:00,0.532,0.179,0.081,0.0,0.474,0.423,0.115,0.0
73,0021700018,1610612754,Pacers,IND,Indiana,240:00,0.474,0.423,0.115,0.0,0.532,0.179,0.081,0.0
74,0021700156,1610612762,Jazz,UTA,Utah,240:00,0.348,0.354,0.107,0.226,0.494,0.37,0.203,0.205
75,0021700156,1610612755,76ers,PHI,Philadelphia,240:00,0.494,0.37,0.203,0.205,0.348,0.354,0.107,0.226
76,0021700157,1610612757,Trail Blazers,POR,Portland,240:00,0.481,0.247,0.167,0.256,0.527,0.342,0.16,0.135
77,0021700157,1610612763,Grizzlies,MEM,Memphis,240:00,0.527,0.342,0.16,0.135,0.481,0.247,0.167,0.256
78,0021700154,1610612759,Spurs,SAS,San Antonio,240:00,0.625,0.226,0.138,0.275,0.579,0.207,0.185,0.263
79,0021700154,1610612746,Clippers,LAC,LA,240:00,0.579,0.207,0.185,0.263,0.625,0.226,0.138,0.275
80,0021700155,1610612743,Nuggets,DEN,Denver,240:00,0.522,0.215,0.17,0.188,0.489,0.247,0.216,0.174
81,0021700155,1610612751,Nets,BKN,Brooklyn,240:00,0.489,0.247,0.216,0.174,0.522,0.215,0.17,0.188
82,0021700389,1610612755,76ers,PHI,Philadelphia,240:00,0.505,0.313,0.163,0.44,0.669,0.4,0.144,0.167
83,0021700389,1610612740,Pelicans,NOP,New Orleans,240:00,0.669,0.4,0.144,0.167,0.505,0.313,0.163,0.44
84,0021700710,1610612758,Kings,SAC,Sacramento,240:00,0.5,0.173,0.137,0.114,0.451,0.22,0.17,0.175
