,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV
0,2010-10-28T00:00:00,1,0021000017,1610612764,WAS,Washington,0-1,15,19,25,24,0,0,0,0,,,,,,,83,0.372,0.7,0.211,17,25,13
1,2010-10-28T00:00:00,1,0021000017,1610612753,ORL,Orlando,1-0,29,29,32,22,0,0,0,0,,,,,,,112,0.558,0.563,0.333,20,53,21
2,2010-10-28T00:00:00,2,0021000018,1610612756,PHX,Phoenix,1-1,27,31,26,26,0,0,0,0,,,,,,,110,0.463,0.765,0.385,20,44,14
3,2010-10-28T00:00:00,2,0021000018,1610612762,UTA,Utah,0-2,22,20,30,22,0,0,0,0,,,,,,,94,0.429,0.704,0.231,19,45,16
0,2010-10-29T00:00:00,1,0021000019,1610612754,IND,Indiana,1-1,27,23,23,31,0,0,0,0,,,,,,,104,0.45,0.833,0.414,25,34,10
1,2010-10-29T00:00:00,1,0021000019,1610612766,CHA,Charlotte,0-2,31,27,22,21,0,0,0,0,,,,,,,101,0.443,0.778,0.333,17,45,17
2,2010-10-29T00:00:00,2,0021000020,1610612758,SAC,Sacramento,1-1,21,32,24,23,0,0,0,0,,,,,,,100,0.419,0.654,0.25,21,31,12
3,2010-10-29T00:00:00,2,0021000020,1610612751,NJN,New Jersey,2-0,29,32,15,30,0,0,0,0,,,,,,,106,0.525,0.8,0.545,18,43,26
4,2010-10-29T00:00:00,3,0021000021,1610612737,ATL,Atlanta,2-0,33,29,22,20,0,0,0,0,,,,,,,104,0.514,0.839,0.353,24,46,20
5,2010-10-29T00:00:00,3,0021000021,1610612755,PHI,Philadelphia,0-2,30,22,22,27,0,0,0,0,,,,,,,101,0.412,0.788,0.455,24,36,8
6,2010-10-29T00:00:00,4,0021000022,1610612739,CLE,Cleveland,1-1,20,18,17,26,0,0,0,0,,,,,,,81,0.381,0.8,0.474,15,33,19
7,2010-10-29T00:00:00,4,0021000022,1610612761,TOR,Toronto,1-1,24,22,31,24,0,0,0,0,,,,,,,101,0.476,0.944,0.3,24,46,19
8,2010-10-29T00:00:00,5,0021000023,1610612752,NYK,New York,1-1,20,26,26,29,0,0,0,0,,,,,,,101,0.435,0.667,0.333,24,38,10
9,2010-10-29T00:00:00,5,0021000023,1610612738,BOS,Boston,2-1,27,23,29,26,0,0,0,0,,,,,,,105,0.484,0.667,0.313,33,54,17
10,2010-10-29T00:00:00,6,0021000024,1610612760,OKC,Oklahoma City,2-0,26,30,27,22,0,0,0,0,,,,,,,105,0.388,0.841,0.133,16,47,12
11,2010-10-29T00:00:00,6,0021000024,1610612765,DET,Detroit,0-2,21,30,28,25,0,0,0,0,,,,,,,104,0.471,0.8,0.667,16,43,18
12,2010-10-29T00:00:00,7,0021000025,1610612753,ORL,Orlando,1-1,24,21,10,15,0,0,0,0,,,,,,,70,0.304,0.706,0.167,5,40,14
13,2010-10-29T00:00:00,7,0021000025,1610612748,MIA,Miami,2-1,24,27,28,17,0,0,0,0,,,,,,,96,0.407,0.778,0.5,17,51,12
14,2010-10-29T00:00:00,8,0021000026,1610612749,MIL,Milwaukee,0-2,28,18,18,21,0,0,0,0,,,,,,,85,0.356,0.8,0.15,18,39,13
15,2010-10-29T00:00:00,8,0021000026,1610612750,MIN,Minnesota,1-1,27,28,19,22,0,0,0,0,,,,,,,96,0.376,0.722,0.273,13,62,18
16,2010-10-29T00:00:00,9,0021000027,1610612743,DEN,Denver,1-1,25,25,21,24,0,0,0,0,,,,,,,95,0.486,0.76,0.4,19,37,19
17,2010-10-29T00:00:00,9,0021000027,1610612740,NOH,New Orleans,2-0,27,32,13,29,0,0,0,0,,,,,,,101,0.494,0.792,0.353,23,35,15
18,2010-10-29T00:00:00,10,0021000028,1610612763,MEM,Memphis,1-1,24,17,28,22,0,0,0,0,,,,,,,91,0.388,0.694,0.267,17,45,13
19,2010-10-29T00:00:00,10,0021000028,1610612742,DAL,Dallas,1-1,29,21,25,15,0,0,0,0,,,,,,,90,0.472,0.667,0.333,24,45,18
20,2010-10-29T00:00:00,11,0021000029,1610612746,LAC,Los Angeles,0-2,28,26,13,24,0,0,0,0,,,,,,,91,0.386,0.688,0.278,17,40,16
21,2010-10-29T00:00:00,11,0021000029,1610612744,GSW,Golden State,2-0,27,31,32,19,0,0,0,0,,,,,,,109,0.531,0.529,0.583,32,46,17
22,2010-10-29T00:00:00,12,0021000030,1610612747,LAL,Los Angeles,2-0,28,29,30,27,0,0,0,0,,,,,,,114,0.484,0.833,0.444,21,46,10
23,2010-10-29T00:00:00,12,0021000030,1610612756,PHX,Phoenix,1-2,27,23,29,27,0,0,0,0,,,,,,,106,0.473,0.692,0.375,21,43,10
0,2010-10-30T00:00:00,1,0021000031,1610612764,WAS,Washington,0-2,27,13,30,25,0,0,0,0,,,,,,,95,0.5,0.714,0.333,16,34,17
1,2010-10-30T00:00:00,1,0021000031,1610612737,ATL,Atlanta,3-0,18,26,26,29,0,0,0,0,,,,,,,99,0.42,0.867,0.263,19,43,16
2,2010-10-30T00:00:00,2,0021000032,1610612758,SAC,Sacramento,2-1,34,19,31,23,0,0,0,0,,,,,,,107,0.519,0.75,0.6,24,43,14
3,2010-10-30T00:00:00,2,0021000032,1610612739,CLE,Cleveland,1-2,34,33,15,22,0,0,0,0,,,,,,,104,0.488,0.69,0.316,22,35,13
4,2010-10-30T00:00:00,3,0021000033,1610612757,POR,Portland,3-0,26,18,30,26,0,0,0,0,,,,,,,100,0.487,0.667,0.462,22,41,14
5,2010-10-30T00:00:00,3,0021000033,1610612752,NYK,New York,1-2,19,25,30,21,0,0,0,0,,,,,,,95,0.42,0.56,0.25,16,51,17
6,2010-10-30T00:00:00,4,0021000034,1610612755,PHI,Philadelphia,0-3,26,25,15,20,0,0,0,0,,,,,,,86,0.439,0.5,0.545,13,46,19
7,2010-10-30T00:00:00,4,0021000034,1610612754,IND,Indiana,2-1,21,30,27,21,0,0,0,0,,,,,,,99,0.416,0.72,0.292,18,51,18
8,2010-10-30T00:00:00,5,0021000035,1610612765,DET,Detroit,0-3,24,39,19,9,0,0,0,0,,,,,,,91,0.378,0.686,0.278,14,44,16
9,2010-10-30T00:00:00,5,0021000035,1610612741,CHI,Chicago,1-1,21,23,23,34,0,0,0,0,,,,,,,101,0.43,0.71,0.278,17,51,15
10,2010-10-30T00:00:00,6,0021000036,1610612750,MIN,Minnesota,1-2,19,27,29,14,0,0,0,0,,,,,,,89,0.348,0.656,0.3,15,57,28
11,2010-10-30T00:00:00,6,0021000036,1610612763,MEM,Memphis,2-1,34,25,28,22,0,0,0,0,,,,,,,109,0.462,0.833,0.4,27,43,17
12,2010-10-30T00:00:00,7,0021000037,1610612743,DEN,Denver,2-1,24,24,24,35,0,0,0,0,,,,,,,107,0.378,0.879,0.37,16,48,12
13,2010-10-30T00:00:00,7,0021000037,1610612745,HOU,Houston,0-3,27,24,18,25,0,0,0,0,,,,,,,94,0.457,0.81,0.158,19,44,19
14,2010-10-30T00:00:00,8,0021000038,1610612766,CHA,Charlotte,0-3,18,22,22,26,0,0,0,0,,,,,,,88,0.469,0.826,0.474,13,28,18
15,2010-10-30T00:00:00,8,0021000038,1610612749,MIL,Milwaukee,1-2,27,21,25,25,0,0,0,0,,,,,,,98,0.451,0.852,0.5,19,40,18
16,2010-10-30T00:00:00,9,0021000039,1610612740,NOH,New Orleans,3-0,17,26,33,23,0,0,0,0,,,,,,,99,0.5,0.824,0.636,20,40,14
17,2010-10-30T00:00:00,9,0021000039,1610612759,SAS,San Antonio,1-1,24,18,18,30,0,0,0,0,,,,,,,90,0.388,0.857,0.231,24,41,13
0,2010-10-31T00:00:00,1,0021000040,1610612748,MIA,Miami,3-1,29,29,27,16,0,0,0,0,,,,,,,101,0.537,0.706,0.313,29,40,8
1,2010-10-31T00:00:00,1,0021000040,1610612751,NJN,New Jersey,2-1,18,24,19,17,0,0,0,0,,,,,,,78,0.353,0.652,0.214,16,43,15
2,2010-10-31T00:00:00,2,0021000041,1610612742,DAL,Dallas,2-1,27,22,29,21,0,0,0,0,,,,,,,99,0.468,0.69,0.438,23,41,14
3,2010-10-31T00:00:00,2,0021000041,1610612746,LAC,Los Angeles,0-3,23,24,19,17,0,0,0,0,,,,,,,83,0.341,0.742,0.19,17,48,16
4,2010-10-31T00:00:00,3,0021000042,1610612762,UTA,Utah,1-2,27,29,35,29,0,0,0,0,,,,,,,120,0.53,0.833,0.636,32,42,15
