,Unnamed: 0,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,TEAM_ABBREVIATION,WL,PTDIFF
1306,4,2018-01-17T00:00:00,3,0021700655,1610612759,San Antonio,30-16,31.0,20.0,25.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.415,0.742,0.474,24.0,42.0,9.0,240:00,0.47,0.378,0.092,0.146,0.5,0.217,0.142,0.146,SAS,w,5.0
1307,5,2018-01-17T00:00:00,3,0021700655,1610612751,Brooklyn,16-29,26.0,20.0,18.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.42200000000000004,0.667,0.361,23.0,47.0,14.0,240:00,0.5,0.217,0.142,0.146,0.47,0.378,0.092,0.146,BKN,l,-5.0
1304,2,2018-01-17T00:00:00,2,0021700654,1610612740,New Orleans,23-21,32.0,28.0,10.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.43799999999999994,0.684,0.37,27.0,43.0,12.0,240:00,0.5,0.238,0.15,0.225,0.472,0.146,0.117,0.261,NOP,l,-1.0
1305,3,2018-01-17T00:00:00,2,0021700654,1610612737,Atlanta,13-31,25.0,20.0,26.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.41600000000000004,0.769,0.25,32.0,43.0,10.0,240:00,0.472,0.146,0.117,0.261,0.5,0.238,0.15,0.225,ATL,w,1.0
1310,8,2018-01-17T00:00:00,5,0021700657,1610612744,Golden State,37-9,38.0,25.0,32.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.5,0.88,0.39399999999999996,24.0,49.0,15.0,240:00,0.577,0.298,0.143,0.125,0.472,0.123,0.101,0.241,GSW,w,7.0
1311,9,2018-01-17T00:00:00,5,0021700657,1610612741,Chicago,17-28,40.0,26.0,12.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.425,0.9229999999999999,0.256,24.0,49.0,11.0,240:00,0.472,0.123,0.101,0.241,0.577,0.298,0.143,0.125,CHI,l,-7.0
1308,6,2018-01-17T00:00:00,4,0021700656,1610612765,Detroit,22-21,18.0,33.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.42,0.467,0.35700000000000004,22.0,42.0,14.0,240:00,0.477,0.17,0.152,0.229,0.494,0.288,0.212,0.279,DET,l,-5.0
1309,7,2018-01-17T00:00:00,4,0021700656,1610612761,Toronto,30-13,31.0,23.0,19.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.425,0.7390000000000001,0.355,24.0,49.0,20.0,240:00,0.494,0.288,0.212,0.279,0.477,0.17,0.152,0.229,TOR,w,5.0
1298,4,2018-01-16T00:00:00,3,0021700651,1610612742,Dallas,15-30,27.0,21.0,21.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.48700000000000004,0.818,0.29600000000000004,17.0,35.0,16.0,240:00,0.538,0.282,0.162,0.135,0.512,0.302,0.187,0.333,DAL,l,-3.0
1299,5,2018-01-16T00:00:00,3,0021700651,1610612743,Denver,23-21,30.0,31.0,25.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.465,0.654,0.308,23.0,47.0,18.0,240:00,0.512,0.302,0.187,0.333,0.538,0.282,0.162,0.135,DEN,w,3.0
1296,2,2018-01-16T00:00:00,2,0021700650,1610612740,New Orleans,23-20,32.0,26.0,29.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.45,0.76,0.259,28.0,55.0,15.0,265:00,0.485,0.25,0.133,0.241,0.49,0.158,0.165,0.222,NOP,w,3.0
1297,3,2018-01-16T00:00:00,2,0021700650,1610612738,Boston,34-11,25.0,23.0,32.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.396,0.875,0.38,27.0,53.0,18.0,265:00,0.49,0.158,0.165,0.222,0.485,0.25,0.133,0.241,BOS,l,-3.0
890,12,2017-12-18T00:00:00,7,0021700447,1610612743,Denver,16-14,18.0,26.0,32.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.43,0.667,0.324,21.0,45.0,11.0,240:00,0.5,0.14,0.126,0.19,0.525,0.185,0.109,0.14,DEN,l,-1.0
891,13,2017-12-18T00:00:00,7,0021700447,1610612760,Oklahoma City,15-15,32.0,20.0,18.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.48100000000000004,0.667,0.292,13.0,40.0,10.0,240:00,0.525,0.185,0.109,0.14,0.5,0.14,0.126,0.19,OKC,w,1.0
1300,6,2018-01-16T00:00:00,4,0021700652,1610612756,Phoenix,16-29,31.0,20.0,21.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.41600000000000004,0.955,0.39,21.0,43.0,13.0,240:00,0.506,0.247,0.13,0.261,0.599,0.11,0.104,0.225,PHX,l,-7.0
1301,7,2018-01-16T00:00:00,4,0021700652,1610612757,Portland,23-21,36.0,30.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.505,0.9,0.486,21.0,43.0,9.0,240:00,0.599,0.11,0.104,0.225,0.506,0.247,0.13,0.261,POR,w,7.0
1424,0,2018-01-26T00:00:00,1,0021700714,1610612737,Atlanta,14-34,26.0,26.0,34.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.46799999999999997,0.84,0.5,23.0,39.0,20.0,240:00,0.563,0.316,0.2,0.158,0.528,0.364,0.108,0.25,ATL,l,-11.0
1425,1,2018-01-26T00:00:00,1,0021700714,1610612766,Charlotte,20-27,30.0,31.0,29.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.455,0.875,0.382,25.0,43.0,11.0,240:00,0.528,0.364,0.108,0.25,0.563,0.316,0.2,0.158,CHA,w,11.0
1426,2,2018-01-26T00:00:00,2,0021700715,1610612754,Indiana,26-23,31.0,29.0,20.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.473,0.818,0.419,27.0,37.0,16.0,240:00,0.544,0.121,0.154,0.182,0.64,0.159,0.208,0.216,IND,l,-7.0
1427,3,2018-01-26T00:00:00,2,0021700715,1610612739,Cleveland,28-19,38.0,35.0,24.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.561,0.769,0.35100000000000003,27.0,44.0,20.0,240:00,0.64,0.159,0.208,0.216,0.544,0.121,0.154,0.182,CLE,w,7.0
1428,4,2018-01-26T00:00:00,3,0021700716,1610612762,Utah,21-28,30.0,15.0,30.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.414,0.7140000000000001,0.47600000000000003,20.0,47.0,13.0,240:00,0.471,0.241,0.131,0.217,0.426,0.179,0.113,0.302,UTA,w,4.0
1429,5,2018-01-26T00:00:00,3,0021700716,1610612761,Toronto,32-15,24.0,24.0,21.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.389,0.706,0.259,23.0,52.0,11.0,240:00,0.426,0.179,0.113,0.302,0.471,0.241,0.131,0.217,TOR,l,-4.0
1430,6,2018-01-26T00:00:00,4,0021700717,1610612747,Los Angeles,19-29,32.0,30.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.451,0.75,0.20800000000000002,23.0,48.0,9.0,240:00,0.478,0.308,0.088,0.213,0.468,0.258,0.138,0.296,LAL,w,5.0
1431,7,2018-01-26T00:00:00,4,0021700717,1610612741,Chicago,18-31,25.0,32.0,15.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.376,0.667,0.47200000000000003,21.0,53.0,13.0,240:00,0.468,0.258,0.138,0.296,0.478,0.308,0.088,0.213,CHI,l,-5.0
1314,12,2018-01-17T00:00:00,7,0021700659,1610612748,Miami,26-18,30.0,22.0,26.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.46299999999999997,0.741,0.41700000000000004,28.0,46.0,15.0,240:00,0.524,0.329,0.152,0.233,0.507,0.421,0.105,0.122,MIA,w,5.0
1315,13,2018-01-17T00:00:00,7,0021700659,1610612749,Milwaukee,23-21,25.0,32.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.434,0.75,0.39299999999999996,23.0,38.0,9.0,240:00,0.507,0.421,0.105,0.122,0.524,0.329,0.152,0.233,MIL,l,-5.0
1312,10,2018-01-17T00:00:00,6,0021700658,1610612752,New York,20-25,31.0,22.0,20.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.42700000000000005,0.9570000000000001,0.259,22.0,45.0,14.0,240:00,0.47,0.28,0.149,0.293,0.505,0.187,0.126,0.313,NYK,l,-6.0
1313,11,2018-01-17T00:00:00,6,0021700658,1610612763,Memphis,15-28,32.0,29.0,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.451,0.765,0.35700000000000004,23.0,44.0,11.0,240:00,0.505,0.187,0.126,0.313,0.47,0.28,0.149,0.293,MEM,w,6.0
