,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0,0021700608,1610612757,Trail Blazers,POR,Portland,240:00,0.536,0.386,0.133,0.158,0.51,0.25,0.121,0.333
1,0021700608,1610612745,Rockets,HOU,Houston,240:00,0.51,0.25,0.121,0.333,0.536,0.386,0.133,0.158
2,0021700609,1610612740,Pelicans,NOP,New Orleans,240:00,0.513,0.442,0.126,0.2,0.449,0.364,0.102,0.311
3,0021700609,1610612763,Grizzlies,MEM,Memphis,240:00,0.449,0.364,0.102,0.311,0.513,0.442,0.126,0.2
4,0021700610,1610612753,Magic,ORL,Orlando,240:00,0.478,0.2,0.1,0.182,0.573,0.305,0.172,0.297
5,0021700610,1610612749,Bucks,MIL,Milwaukee,240:00,0.573,0.305,0.172,0.297,0.478,0.2,0.1,0.182
6,0021700611,1610612760,Thunder,OKC,Oklahoma City,240:00,0.438,0.3,0.191,0.227,0.531,0.338,0.165,0.262
7,0021700611,1610612750,Timberwolves,MIN,Minnesota,240:00,0.531,0.338,0.165,0.262,0.438,0.3,0.191,0.227
8,0021700612,1610612743,Nuggets,DEN,Denver,240:00,0.447,0.211,0.118,0.269,0.575,0.225,0.163,0.188
9,0021700612,1610612737,Hawks,ATL,Atlanta,240:00,0.575,0.225,0.163,0.188,0.447,0.211,0.118,0.269
10,0021700613,1610612746,Clippers,LAC,LA,240:00,0.548,0.298,0.128,0.275,0.532,0.329,0.156,0.103
11,0021700613,1610612744,Warriors,GSW,Golden State,240:00,0.532,0.329,0.156,0.103,0.548,0.298,0.128,0.275
12,0021700614,1610612755,76ers,PHI,Philadelphia,240:00,0.53,0.22,0.179,0.079,0.556,0.213,0.172,0.244
13,0021700614,1610612738,Celtics,BOS,Boston,240:00,0.556,0.213,0.172,0.244,0.53,0.22,0.179,0.079
14,0021700615,1610612761,Raptors,TOR,Toronto,240:00,0.585,0.123,0.088,0.409,0.416,0.337,0.097,0.167
15,0021700615,1610612739,Cavaliers,CLE,Cleveland,240:00,0.416,0.337,0.097,0.167,0.585,0.123,0.088,0.409
16,0021700616,1610612758,Kings,SAC,Sacramento,240:00,0.541,0.329,0.155,0.244,0.589,0.357,0.168,0.19
17,0021700616,1610612746,Clippers,LAC,LA,240:00,0.589,0.357,0.168,0.19,0.541,0.329,0.155,0.244
18,0021700617,1610612759,Spurs,SAS,San Antonio,240:00,0.461,0.197,0.217,0.167,0.489,0.161,0.165,0.24
19,0021700617,1610612747,Lakers,LAL,Los Angeles,240:00,0.489,0.161,0.165,0.24,0.461,0.197,0.217,0.167
20,0021700618,1610612762,Jazz,UTA,Utah,240:00,0.442,0.299,0.159,0.174,0.468,0.436,0.133,0.178
21,0021700618,1610612766,Hornets,CHA,Charlotte,240:00,0.468,0.436,0.133,0.178,0.442,0.299,0.159,0.174
22,0021700619,1610612754,Pacers,IND,Indiana,240:00,0.518,0.141,0.142,0.14,0.476,0.224,0.125,0.191
23,0021700619,1610612739,Cavaliers,CLE,Cleveland,240:00,0.476,0.224,0.125,0.191,0.518,0.141,0.142,0.14
24,0021700620,1610612764,Wizards,WAS,Washington,240:00,0.589,0.2,0.118,0.333,0.588,0.388,0.164,0.308
25,0021700620,1610612753,Magic,ORL,Orlando,240:00,0.588,0.388,0.164,0.308,0.589,0.2,0.118,0.333
26,0021700621,1610612751,Nets,BKN,Brooklyn,240:00,0.534,0.299,0.149,0.255,0.531,0.325,0.177,0.211
27,0021700621,1610612737,Hawks,ATL,Atlanta,240:00,0.531,0.325,0.177,0.211,0.534,0.299,0.149,0.255
28,0021700622,1610612749,Bucks,MIL,Milwaukee,240:00,0.488,0.141,0.127,0.195,0.589,0.228,0.125,0.286
29,0021700622,1610612744,Warriors,GSW,Golden State,240:00,0.589,0.228,0.125,0.286,0.488,0.141,0.127,0.195
30,0021700623,1610612752,Knicks,NYK,New York,240:00,0.614,0.108,0.17,0.25,0.568,0.168,0.122,0.372
31,0021700623,1610612750,Timberwolves,MIN,Minnesota,240:00,0.568,0.168,0.122,0.372,0.614,0.108,0.17,0.25
32,0021700624,1610612757,Trail Blazers,POR,Portland,240:00,0.505,0.139,0.106,0.292,0.591,0.28,0.178,0.265
33,0021700624,1610612740,Pelicans,NOP,New Orleans,240:00,0.591,0.28,0.178,0.265,0.505,0.139,0.106,0.292
34,0021700625,1610612763,Grizzlies,MEM,Memphis,240:00,0.435,0.182,0.166,0.186,0.436,0.457,0.172,0.3
35,0021700625,1610612743,Nuggets,DEN,Denver,240:00,0.436,0.457,0.172,0.3,0.435,0.182,0.166,0.186
36,0021700626,1610612756,Suns,PHX,Phoenix,240:00,0.55,0.113,0.192,0.093,0.495,0.234,0.109,0.292
37,0021700626,1610612745,Rockets,HOU,Houston,240:00,0.495,0.234,0.109,0.292,0.55,0.113,0.192,0.093
38,0021700627,1610612747,Lakers,LAL,Los Angeles,265:00,0.495,0.189,0.14,0.239,0.439,0.311,0.084,0.077
39,0021700627,1610612742,Mavericks,DAL,Dallas,265:00,0.439,0.311,0.084,0.077,0.495,0.189,0.14,0.239
40,0021700628,1610612758,Kings,SAC,Sacramento,240:00,0.541,0.259,0.159,0.227,0.634,0.317,0.153,0.156
41,0021700628,1610612746,Clippers,LAC,LA,240:00,0.634,0.317,0.153,0.156,0.541,0.259,0.159,0.227
42,0021700629,1610612760,Thunder,OKC,Oklahoma City,240:00,0.443,0.206,0.094,0.317,0.452,0.277,0.151,0.191
43,0021700629,1610612766,Hornets,CHA,Charlotte,240:00,0.452,0.277,0.151,0.191,0.443,0.206,0.094,0.317
44,0021700630,1610612764,Wizards,WAS,Washington,265:00,0.548,0.247,0.134,0.15,0.485,0.202,0.144,0.241
45,0021700630,1610612751,Nets,BKN,Brooklyn,265:00,0.485,0.202,0.144,0.241,0.548,0.247,0.134,0.15
46,0021700631,1610612761,Raptors,TOR,Toronto,240:00,0.527,0.344,0.097,0.341,0.636,0.346,0.072,0.091
47,0021700631,1610612744,Warriors,GSW,Golden State,240:00,0.636,0.346,0.072,0.091,0.527,0.344,0.097,0.341
48,0021700632,1610612765,Pistons,DET,Detroit,240:00,0.511,0.152,0.141,0.277,0.58,0.103,0.15,0.158
49,0021700632,1610612741,Bulls,CHI,Chicago,240:00,0.58,0.103,0.15,0.158,0.511,0.152,0.141,0.277
50,0021700633,1610612759,Spurs,SAS,San Antonio,240:00,0.608,0.228,0.156,0.167,0.392,0.205,0.176,0.229
51,0021700633,1610612743,Nuggets,DEN,Denver,240:00,0.392,0.205,0.176,0.229,0.608,0.228,0.156,0.167
52,0021700634,1610612749,Bucks,MIL,Milwaukee,240:00,0.342,0.342,0.153,0.148,0.533,0.263,0.155,0.086
53,0021700634,1610612748,Heat,MIA,Miami,240:00,0.533,0.263,0.155,0.086,0.342,0.342,0.153,0.148
54,0021700635,1610612752,Knicks,NYK,New York,265:00,0.536,0.186,0.202,0.227,0.521,0.358,0.162,0.261
55,0021700635,1610612740,Pelicans,NOP,New Orleans,265:00,0.521,0.358,0.162,0.261,0.536,0.186,0.202,0.227
56,0021700636,1610612756,Suns,PHX,Phoenix,240:00,0.465,0.282,0.137,0.292,0.608,0.159,0.065,0.205
57,0021700636,1610612754,Pacers,IND,Indiana,240:00,0.608,0.159,0.065,0.205,0.465,0.282,0.137,0.292
58,0021700637,1610612757,Trail Blazers,POR,Portland,240:00,0.563,0.215,0.187,0.205,0.581,0.413,0.112,0.189
59,0021700637,1610612750,Timberwolves,MIN,Minnesota,240:00,0.581,0.413,0.112,0.189,0.563,0.215,0.187,0.205
60,0021700638,1610612765,Pistons,DET,Detroit,240:00,0.576,0.128,0.154,0.07,0.571,0.393,0.144,0.205
61,0021700638,1610612766,Hornets,CHA,Charlotte,240:00,0.571,0.393,0.144,0.205,0.576,0.128,0.154,0.07
62,0021700639,1610612761,Raptors,TOR,Toronto,240:00,0.447,0.316,0.135,0.24,0.531,0.469,0.201,0.238
63,0021700639,1610612755,76ers,PHI,Philadelphia,240:00,0.531,0.469,0.201,0.238,0.447,0.316,0.135,0.24
64,0021700640,1610612764,Wizards,WAS,Washington,240:00,0.461,0.408,0.234,0.275,0.519,0.358,0.194,0.349
65,0021700640,1610612749,Bucks,MIL,Milwaukee,240:00,0.519,0.358,0.194,0.349,0.461,0.408,0.234,0.275
66,0021700641,1610612759,Spurs,SAS,San Antonio,240:00,0.471,0.23,0.093,0.17,0.517,0.163,0.156,0.275
67,0021700641,1610612737,Hawks,ATL,Atlanta,240:00,0.517,0.163,0.156,0.275,0.471,0.23,0.093,0.17
68,0021700642,1610612752,Knicks,NYK,New York,240:00,0.567,0.451,0.091,0.19,0.431,0.414,0.107,0.204
69,0021700642,1610612751,Nets,BKN,Brooklyn,240:00,0.431,0.414,0.107,0.204,0.567,0.451,0.091,0.19
70,0021700643,1610612758,Kings,SAC,Sacramento,240:00,0.435,0.298,0.136,0.128,0.471,0.337,0.198,0.367
71,0021700643,1610612760,Thunder,OKC,Oklahoma City,240:00,0.471,0.337,0.198,0.367,0.435,0.298,0.136,0.128
72,0021700644,1610612748,Heat,MIA,Miami,240:00,0.548,0.286,0.134,0.095,0.568,0.25,0.099,0.163
73,0021700644,1610612741,Bulls,CHI,Chicago,240:00,0.568,0.25,0.099,0.163,0.548,0.286,0.134,0.095
74,0021700645,1610612763,Grizzlies,MEM,Memphis,240:00,0.573,0.415,0.173,0.158,0.458,0.323,0.125,0.222
75,0021700645,1610612747,Lakers,LAL,Los Angeles,240:00,0.458,0.323,0.125,0.222,0.573,0.415,0.173,0.158
76,0021700646,1610612744,Warriors,GSW,Golden State,240:00,0.553,0.353,0.166,0.295,0.495,0.234,0.141,0.255
77,0021700646,1610612739,Cavaliers,CLE,Cleveland,240:00,0.495,0.234,0.141,0.255,0.553,0.353,0.166,0.295
78,0021700647,1610612762,Jazz,UTA,Utah,240:00,0.5,0.21,0.141,0.205,0.623,0.195,0.156,0.216
79,0021700647,1610612754,Pacers,IND,Indiana,240:00,0.623,0.195,0.156,0.216,0.5,0.21,0.141,0.205
80,0021700648,1610612746,Clippers,LAC,LA,240:00,0.62,0.253,0.185,0.143,0.473,0.17,0.137,0.26
81,0021700648,1610612745,Rockets,HOU,Houston,240:00,0.473,0.17,0.137,0.26,0.62,0.253,0.185,0.143
82,0021700649,1610612753,Magic,ORL,Orlando,240:00,0.506,0.211,0.178,0.366,0.474,0.102,0.08,0.234
83,0021700649,1610612750,Timberwolves,MIN,Minnesota,240:00,0.474,0.102,0.08,0.234,0.506,0.211,0.178,0.366
84,0021700650,1610612740,Pelicans,NOP,New Orleans,265:00,0.485,0.25,0.133,0.241,0.49,0.158,0.165,0.222
